split,sample_id,plant_family,plant_order,plant_min_damping_ratio,closed_loop_oscillation_hz,trajectory_rmse
test,10119,fourth_order_real,4,1.0,0.03578850313371092,0.1563670039176941
test,10120,fourth_order_real,4,1.0,0.030712064722447082,0.16202275454998016
test,10121,fourth_order_real,4,1.0,0.07659796036430713,0.3718906342983246
test,10122,fourth_order_real,4,1.0,0.3523396755243035,0.33223170042037964
test,10125,fourth_order_real,4,1.0,0.10151707129176439,0.6589455604553223
test,10127,fourth_order_real,4,1.0,0.10102970897362469,0.651736855506897
test,10129,fourth_order_real,4,1.0,0.10207989953107181,0.6721839308738708
test,10131,fourth_order_real,4,1.0,0.09922085454394652,0.6185762882232666
test,10132,fourth_order_real,4,1.0,0.1045742754434118,0.6731768250465393
test,10133,fourth_order_real,4,1.0,0.10405071673283069,0.6728002429008484
test,10152,first_order,1,1.0,0.0,0.13972270488739014
test,10153,first_order,1,1.0,0.0,0.052064914256334305
test,10154,first_order,1,1.0,0.0,0.0277500431984663
test,10155,first_order,1,1.0,0.0,0.022422777488827705
test,10156,first_order,1,1.0,0.0,0.1470920741558075
test,10157,first_order,1,1.0,0.0,0.1317729353904724
test,10158,first_order,1,1.0,1.547833208223841,0.0605417899787426
test,10159,first_order,1,1.0,0.4474360761583415,0.08112052828073502
test,10160,first_order,1,1.0,0.0,0.037546075880527496
test,10161,first_order,1,1.0,0.27199030300235455,0.058624424040317535
test,10162,first_order,1,1.0,0.0,0.18195262551307678
test,10163,first_order,1,1.0,2.540496454940154,0.07645575702190399
test,10164,first_order,1,1.0,0.3950206203987747,0.053345903754234314
test,10165,first_order,1,1.0,0.0,0.21869005262851715
test,10166,first_order,1,1.0,0.0,0.026205571368336678
test,10167,first_order,1,1.0,0.0,0.04504692554473877
test,10168,first_order,1,1.0,4.0423954594608364,0.08348474651575089
test,10169,first_order,1,1.0,4.025275809090865,0.07289128005504608
test,10171,fourth_order_mixed_complex,4,0.36395405621207894,0.17128322255705153,0.297894686460495
test,10175,fourth_order_mixed_complex,4,0.36395405621207894,0.1772992955383406,0.06323394924402237
test,10176,fourth_order_mixed_complex,4,0.36395405621207894,0.31296052629187543,0.21111281216144562
test,10278,slow_dynamics_family,2,0.7489265511056418,0.008055053148392503,0.07829281687736511
test,10280,slow_dynamics_family,2,0.7489265511056418,0.036426739379996145,0.17821691930294037
test,10282,slow_dynamics_family,2,0.7489265511056418,0.011414608822777148,0.04298093914985657
test,10284,slow_dynamics_family,2,0.7489265511056418,0.010493456148907567,0.07816397398710251
test,10290,slow_dynamics_family,2,0.7489265511056418,0.037299068672723375,0.14598505198955536
test,10291,slow_dynamics_family,2,0.7489265511056418,0.015428652565687833,0.2251087874174118
test,10294,slow_dynamics_family,2,0.7489265511056418,0.03343263622776014,0.16472627222537994
test,10314,highly_resonant_second_order,2,0.040229211573728746,0.3620283960702431,0.12986904382705688
test,10315,highly_resonant_second_order,2,0.040229211573728746,0.0,0.16004617512226105
test,10316,highly_resonant_second_order,2,0.040229211573728746,0.0,0.09465213865041733
test,10317,highly_resonant_second_order,2,0.040229211573728746,0.19292632927320996,0.089415542781353
test,10318,highly_resonant_second_order,2,0.040229211573728746,0.0,0.3386754095554352
test,10319,highly_resonant_second_order,2,0.040229211573728746,0.0,0.09491272270679474
test,10323,highly_resonant_second_order,2,0.040229211573728746,0.2926833109036878,0.16265887022018433
test,10326,highly_resonant_second_order,2,0.040229211573728746,0.28918454428486856,0.1473386585712433
test,10328,highly_resonant_second_order,2,0.040229211573728746,0.2942811936706625,0.15918821096420288
test,10329,highly_resonant_second_order,2,0.040229211573728746,0.17268683451295125,0.10938014090061188
